Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2022-12-30,199.2899932861328,202.39999389648438,197.58999633789062,202.1999969482422,202.1999969482422,1001300,ILMN
2023-01-03,204.92999267578125,206.30999755859375,198.85000610351562,200.8699951171875,200.8699951171875,912300,ILMN
2023-01-04,206.11000061035156,208.22000122070312,201.0,202.61000061035156,202.61000061035156,829000,ILMN
2023-01-05,198.60000610351562,203.82000732421875,196.33999633789062,201.14999389648438,201.14999389648438,946400,ILMN
2023-01-06,204.5800018310547,204.5800018310547,190.72999572753906,201.8699951171875,201.8699951171875,1523700,ILMN
2023-01-09,205.57000732421875,210.9600067138672,204.47000122070312,207.30999755859375,207.30999755859375,1081100,ILMN
2023-01-10,186.2100067138672,199.66000366210938,182.0,194.4499969482422,194.4499969482422,4053100,ILMN
2023-01-11,197.10000610351562,204.89999389648438,194.8699951171875,204.0500030517578,204.0500030517578,2489100,ILMN
2023-01-12,203.27000427246094,203.6699981689453,190.07000732421875,193.75,193.75,2484000,ILMN
2023-01-13,191.7100067138672,201.63999938964844,191.22000122070312,201.11000061035156,201.11000061035156,1164400,ILMN
2023-01-17,200.67999267578125,206.7100067138672,198.52000427246094,206.44000244140625,206.44000244140625,1273800,ILMN
2023-01-18,207.58999633789062,212.44000244140625,204.49000549316406,205.83999633789062,205.83999633789062,981500,ILMN
2023-01-19,204.8800048828125,206.49000549316406,196.22000122070312,196.3800048828125,196.3800048828125,1082900,ILMN
2023-01-20,196.24000549316406,204.77000427246094,194.67999267578125,204.38999938964844,204.38999938964844,1118400,ILMN
2023-01-23,205.0399932861328,216.89999389648438,203.3300018310547,216.3800048828125,216.3800048828125,1111900,ILMN
2023-01-24,215.6699981689453,217.97999572753906,212.86000061035156,215.14999389648438,215.14999389648438,1004900,ILMN
2023-01-25,210.13999938964844,212.10000610351562,205.39999389648438,211.0399932861328,211.0399932861328,624500,ILMN
2023-01-26,214.27999877929688,215.19000244140625,210.2100067138672,212.77999877929688,212.77999877929688,671900,ILMN
2023-01-27,210.22999572753906,215.08999633789062,207.8300018310547,214.02999877929688,214.02999877929688,1137200,ILMN
2023-01-30,211.55999755859375,214.4499969482422,209.1300048828125,210.10000610351562,210.10000610351562,775400,ILMN
2023-01-31,211.27000427246094,214.49000549316406,209.89999389648438,214.1999969482422,214.1999969482422,958700,ILMN
2023-02-01,211.72999572753906,217.63999938964844,208.25999450683594,216.52000427246094,216.52000427246094,1287100,ILMN
2023-02-02,218.8800048828125,225.3800048828125,218.32000732421875,224.94000244140625,224.94000244140625,1146500,ILMN
2023-02-03,219.49000549316406,221.24000549316406,213.17999267578125,214.25999450683594,214.25999450683594,1141500,ILMN
2023-02-06,211.57000732421875,212.72000122070312,206.41000366210938,208.6999969482422,208.6999969482422,1128600,ILMN
2023-02-07,209.10000610351562,217.49000549316406,206.02999877929688,215.74000549316406,215.74000549316406,1486000,ILMN
2023-02-08,209.27000427246094,216.14999389648438,198.19000244140625,198.5,198.5,2490800,ILMN
2023-02-09,199.99000549316406,203.6999969482422,192.6999969482422,195.86000061035156,195.86000061035156,1479100,ILMN
2023-02-10,192.69000244140625,196.83999633789062,191.82000732421875,196.5800018310547,196.5800018310547,959200,ILMN
2023-02-13,196.91000366210938,216.10000610351562,196.38999938964844,215.94000244140625,215.94000244140625,3030500,ILMN
2023-02-14,213.80999755859375,214.22999572753906,207.00999450683594,212.8300018310547,212.8300018310547,1194800,ILMN
2023-02-15,212.02000427246094,214.82000732421875,210.5800018310547,214.0500030517578,214.0500030517578,781500,ILMN
2023-02-16,208.64999389648438,214.83999633789062,207.6199951171875,211.82000732421875,211.82000732421875,1044200,ILMN
2023-02-17,209.52999877929688,213.13999938964844,208.07000732421875,211.8300018310547,211.8300018310547,975300,ILMN
2023-02-21,209.6699981689453,211.32000732421875,201.27000427246094,202.83999633789062,202.83999633789062,1774900,ILMN
2023-02-22,201.64999389648438,202.86000061035156,197.38999938964844,201.7100067138672,201.7100067138672,961200,ILMN
2023-02-23,202.57000732421875,203.6699981689453,196.77999877929688,202.1999969482422,202.1999969482422,927400,ILMN
2023-02-24,198.5500030517578,199.97999572753906,195.4600067138672,196.58999633789062,196.58999633789062,991600,ILMN
2023-02-27,198.9499969482422,199.0,196.22999572753906,196.89999389648438,196.89999389648438,1307500,ILMN
2023-02-28,196.75999450683594,201.0,195.16000366210938,199.1999969482422,199.1999969482422,940700,ILMN
2023-03-01,198.30999755859375,199.8800048828125,195.75999450683594,198.5399932861328,198.5399932861328,1435900,ILMN
2023-03-02,196.0,207.57000732421875,195.22999572753906,206.52000427246094,206.52000427246094,1627000,ILMN
2023-03-03,208.0,223.08999633789062,207.77999877929688,221.2100067138672,221.2100067138672,1724900,ILMN
2023-03-06,220.55999755859375,222.9600067138672,215.3000030517578,215.6300048828125,215.6300048828125,1941300,ILMN
2023-03-07,215.50999450683594,217.77000427246094,207.2899932861328,208.4600067138672,208.4600067138672,1123200,ILMN
2023-03-08,208.52999877929688,211.27999877929688,205.0,208.02999877929688,208.02999877929688,1391500,ILMN
2023-03-09,211.60000610351562,211.60000610351562,201.52999877929688,202.58999633789062,202.58999633789062,749000,ILMN
2023-03-10,202.13999938964844,202.4600067138672,191.61000061035156,194.00999450683594,194.00999450683594,945500,ILMN
