Date,Open,High,Low,Close,Adj Close,Volume,BVPS,Symbol
2021-11-15,112.12000274658203,113.6500015258789,111.58000183105469,111.87000274658203,107.0274658203125,6566100,-6.997,SBUX
2021-11-16,112.27999877929688,113.11000061035156,111.51000213623047,112.2300033569336,107.37188720703125,7965000,-6.997,SBUX
2021-11-17,112.22000122070312,113.11000061035156,111.66000366210938,112.5199966430664,107.64933013916016,5768600,-6.997,SBUX
2021-11-18,112.12000274658203,113.2300033569336,111.33999633789062,112.9000015258789,108.01288604736328,5632100,-6.997,SBUX
2021-11-19,112.7300033569336,112.9000015258789,109.7699966430664,110.77999877929688,105.98464965820312,6921800,-6.997,SBUX
2021-11-22,111.11000061035156,112.58999633789062,110.66999816894531,111.44999694824219,106.62564849853516,5967300,-6.997,SBUX
2021-11-23,112.0,114.11000061035156,111.77999877929688,113.58000183105469,108.6634521484375,7911000,-6.997,SBUX
2021-11-24,113.41000366210938,114.26000213623047,113.08000183105469,113.97000122070312,109.03656768798828,4464300,-6.997,SBUX
2021-11-26,110.01000213623047,110.83000183105469,109.25,110.66000366210938,105.8698501586914,6703200,-6.997,SBUX
2021-11-29,111.36000061035156,111.69000244140625,109.62000274658203,110.7300033569336,105.93682098388672,7114100,-6.997,SBUX
2021-11-30,109.55000305175781,111.08999633789062,109.05000305175781,109.63999938964844,104.89399719238281,9483300,-6.997,SBUX
2021-12-01,110.95999908447266,113.3499984741211,108.55000305175781,108.66000366210938,103.95642852783203,7618500,-6.997,SBUX
2021-12-02,109.16999816894531,112.08000183105469,109.16999816894531,111.41999816894531,106.5969467163086,7709400,-6.997,SBUX
2021-12-03,111.8499984741211,112.8499984741211,110.08000183105469,111.23999786376953,106.42472839355469,7014100,-6.997,SBUX
2021-12-06,112.01000213623047,114.16999816894531,111.70999908447266,113.36000061035156,108.45297241210938,8280200,-6.997,SBUX
2021-12-07,115.05999755859375,117.19000244140625,114.79000091552734,116.26000213623047,111.22743225097656,8786900,-6.997,SBUX
2021-12-08,115.77999877929688,116.6500015258789,115.1500015258789,116.25,111.21786499023438,5807000,-6.997,SBUX
